player,team,Goals,xG,Shots_On_Target,Total_Passes,Completed_Passes,Key_Passes,Defensive_Actions,Saves
Hidemasa Morita,Japan,0.0,0.190594476,1.0,161.0,128.0,3.0,42.0,0.0
Hiroki Ito,Japan,0.0,0.0,0.0,63.0,58.0,1.0,1.0,0.0
Hiroki Sakai,Japan,0.0,0.28772855,0.0,46.0,31.0,1.0,15.0,0.0
Hirving Rodrigo Lozano Bahena,Mexico,0.0,0.24040568040000002,3.0,74.0,41.0,8.0,23.0,0.0
Homam Alamin Ahmed,Qatar,0.0,0.0,0.0,103.0,77.0,2.0,13.0,0.0
Hugo Lloris,France,0.0,0.0,0.0,182.0,111.0,0.0,16.0,16.0
Héctor Alfredo Moreno Herrera,Mexico,0.0,0.1766503,0.0,191.0,166.0,1.0,26.0,0.0
Héctor Miguel Herrera López,Mexico,0.0,0.0,0.0,75.0,63.0,1.0,17.0,0.0
Ibrahima Konaté,France,0.0,0.17601235,1.0,228.0,209.0,2.0,45.0,0.0
Idrissa Gana Gueye,Senegal,0.0,0.332398158,1.0,131.0,106.0,1.0,31.0,0.0
Ikoma Loïs Openda,Belgium,0.0,0.0,0.0,5.0,3.0,0.0,5.0,0.0
Ilias Chair,Morocco,0.0,0.0,0.0,15.0,13.0,0.0,1.0,0.0
Iliman Ndiaye,Senegal,0.0,0.07411676,0.0,35.0,28.0,1.0,11.0,0.0
In-Beom Hwang,South Korea,0.0,0.197748277,1.0,247.0,199.0,3.0,42.0,0.0
Ismaeel Mohammad Mohammad,Qatar,0.0,0.35790671,2.0,67.0,53.0,1.0,12.0,0.0
Ismael Koné,Canada,0.0,0.0,0.0,102.0,96.0,1.0,8.0,0.0
Ismail Jakobs,Senegal,0.0,0.014392905,0.0,157.0,105.0,5.0,29.0,0.0
Ismaïla Sarr,Senegal,1.0,1.848790219,1.0,81.0,57.0,6.0,25.0,0.0
Issam Jebali,Tunisia,0.0,0.5930872340000001,1.0,37.0,29.0,2.0,17.0,0.0
