player,team,Goals,xG,Total_Passes,Successful_Passes
Leandro Trossard,Belgium,0.0,0.0,57.0,43.0
Leon Goretzka,Germany,0.0,0.46069595,59.0,46.0
Leroy Sané,Germany,0.0,0.18344245,56.0,48.0
Liam Millar,Canada,0.0,0.0,9.0,5.0
Lionel Andrés Messi Cuccittini,Argentina,9.0,7.598649225,371.0,306.0
Lisandro Martínez,Argentina,0.0,0.33156127,154.0,132.0
Lovro Majer,Croatia,2.0,1.5922397369999999,98.0,80.0
Lucas Daniel Cavallini,Canada,0.0,0.0,3.0,3.0
Lucas Hernández Pi,France,0.0,0.0,10.0,6.0
Lucas Tolentino Coelho de Lima,Brazil,1.0,0.704333275,202.0,172.0
Luis Alberto Suárez Díaz,Uruguay,0.0,0.361762436,40.0,26.0
Luis Gerardo Chávez Magallón,Mexico,1.0,0.2156515785,144.0,104.0
Luka Jović,Serbia,0.0,0.05817553,10.0,7.0
Luka Modrić,Croatia,1.0,1.12735736,549.0,463.0
Lukas Klostermann,Germany,0.0,0.0,47.0,46.0
Luke Shaw,England,0.0,0.084394449,402.0,339.0
Luuk de Jong,Netherlands,1.0,0.8364073399999999,11.0,8.0
Manuel Neuer,Germany,0.0,0.0,123.0,111.0
Manuel Obafemi Akanji,Switzerland,1.0,0.8826694319999999,255.0,229.0
Marcelo Brozović,Croatia,1.0,1.368818893,529.0,472.0
Marco Asensio Willemsen,Spain,1.0,0.608190739,117.0,92.0
Marcos Aoás Corrêa,Brazil,0.0,0.86164184,359.0,345.0
Marcos Javier Acuña,Argentina,0.0,0.076122072,217.0,170.0
Marcos Llorente Moreno,Spain,0.0,0.024551911,104.0,94.0
Marcus Rashford,England,3.0,1.382585795,67.0,50.0
